
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          4 K
System                           4 Services                   0    463,540 K
smss.exe                       380 Services                   0        412 K
csrss.exe                      624 Services                   0      1,588 K
wininit.exe                    724 Services                   0      2,336 K
services.exe                   832 Services                   0      4,140 K
lsass.exe                      864 Services                   0      8,484 K
svchost.exe                    952 Services                   0     14,480 K
svchost.exe                     80 Services                   0      9,656 K
svchost.exe                    604 Services                   0     47,620 K
svchost.exe                    452 Services                   0     66,856 K
iSafeSvc.exe                  1040 Services                   0      3,632 K
svchost.exe                   1092 Services                   0     10,848 K
svchost.exe                   1096 Services                   0     18,088 K
svchost.exe                   1224 Services                   0     23,648 K
IntelCpHeciSvc.exe            1364 Services                   0      3,144 K
svchost.exe                   1436 Services                   0     22,952 K
igfxCUIService.exe            1508 Services                   0      3,348 K
iSafeSvc2.exe                 1612 Services                   0     19,208 K
svchost.exe                   1688 Services                   0     12,888 K
spoolsv.exe                   1784 Services                   0      4,504 K
armsvc.exe                    1476 Services                   0      1,472 K
Jhi_service.exe               1644 Services                   0      1,248 K
mDNSResponder.exe             1668 Services                   0      3,380 K
EasyLauncher.exe              2068 Services                   0      2,624 K
dasHost.exe                   2244 Services                   0     10,668 K
SynTPEnhService.exe           2280 Services                   0      1,948 K
svchost.exe                   2316 Services                   0     12,704 K
Ath_CoexAgent.exe             2372 Services                   0      2,444 K
MsMpEng.exe                   2392 Services                   0     70,524 K
pbbtnService.exe              2404 Services                   0      1,744 K
svchost.exe                   2488 Services                   0     16,708 K
svchost.exe                   3628 Services                   0      3,520 K
NisSrv.exe                    3444 Services                   0      9,236 K
PresentationFontCache.exe     4196 Services                   0      2,692 K
SearchIndexer.exe             4324 Services                   0     32,364 K
WmiPrvSE.exe                  3664 Services                   0      7,152 K
ServiceLayer.exe              5244 Services                   0      4,836 K
GoogleCrashHandler.exe        7544 Services                   0      1,076 K
GoogleCrashHandler64.exe      6116 Services                   0        112 K
IAStorDataMgrSvc.exe          7112 Services                   0     29,316 K
IntelMeFWService.exe          7120 Services                   0      1,112 K
LMS.exe                       7660 Services                   0      2,780 K
SWMAgent.exe                  4148 Services                   0     11,192 K
UNS.exe                       8480 Services                   0      4,736 K
svchost.exe                   7600 Services                   0      9,976 K
csrss.exe                     8664 Console                    5      7,356 K
winlogon.exe                  7128 Console                    5      7,000 K
dwm.exe                       9832 Console                    5     37,920 K
EasySettingsCmdServer.exe     3532 Console                    5     20,092 K
sihost.exe                    4648 Console                    5     21,060 K
taskhostw.exe                 1292 Console                    5     16,600 K
SynTPEnh.exe                  8360 Console                    5     18,700 K
explorer.exe                  1636 Console                    5    108,472 K
RuntimeBroker.exe             5836 Console                    5     39,036 K
igfxEM.exe                    5160 Console                    5     13,068 K
igfxHK.exe                    3128 Console                    5      8,564 K
igfxTray.exe                  8792 Console                    5     14,588 K
SynTPHelper.exe               4768 Console                    5      3,808 K
iSafeTray.exe                 3488 Console                    5     23,264 K
ShellExperienceHost.exe       9188 Console                    5     50,264 K
sSettings.exe                 2776 Console                    5      1,988 K
igfxext.exe                   7096 Console                    5      8,152 K
SearchUI.exe                  5716 Console                    5     72,352 K
iDesk.exe                     7440 Console                    5     27,624 K
RAVCpl64.exe                  9840 Console                    5     10,652 K
PCSuite.exe                   8876 Console                    5     21,644 K
OneDrive.exe                  5152 Console                    5     26,440 K
fontdrvhost.exe               6164 Console                    5      2,536 K
PDVD10Serv.exe                4636 Console                    5      6,984 K
CLMLSvc_P2G8.exe              7044 Console                    5      8,776 K
Ymsgr_tray.exe                9568 Console                    5      7,552 K
IAStorIcon.exe                8184 Console                    5     26,264 K
svchost.exe                   5660 Console                    5     29,688 K
InstallAgent.exe              4480 Console                    5     11,340 K
SettingSyncHost.exe           1532 Console                    5      3,652 K
prevhost.exe                  5492 Console                    5     11,840 K
pythonw.exe                   9536 Console                    5     23,720 K
pythonw.exe                   4332 Console                    5     14,512 K
ApplicationFrameHost.exe      7664 Console                    5     22,364 K
cmd.exe                       8500 Console                    5      9,848 K
conhost.exe                   4620 Console                    5      7,080 K
MSASCui.exe                   7648 Console                    5     19,568 K
dllhost.exe                   8016 Console                    5     10,676 K
MATLAB.exe                    8804 Console                    5    129,232 K
pythonw.exe                   7892 Console                    5     15,984 K
notepad.exe                   3892 Console                    5     10,892 K
MpCmdRun.exe                  4788 Services                   0      9,568 K
pythonw.exe                   4544 Console                    5     16,732 K
chrome.exe                    7724 Console                    5    128,900 K
chrome.exe                     780 Console                    5      6,968 K
chrome.exe                   10220 Console                    5      8,064 K
chrome.exe                    4524 Console                    5     40,268 K
chrome.exe                    1088 Console                    5     28,560 K
chrome.exe                    7316 Console                    5     35,800 K
chrome.exe                    8248 Console                    5     48,752 K
pythonw.exe                   2292 Console                    5      9,216 K
NclUSBSrv64.exe               8276 Services                   0      5,024 K
NclRSSrv.exe                  5416 Services                   0      3,976 K
NclMSBTSrvEx.exe              5696 Console                    5      6,140 K
pythonw.exe                   3980 Console                    5     14,588 K
Calculator.exe                2612 Console                    5     30,512 K
SearchProtocolHost.exe        7172 Services                   0     10,592 K
SearchFilterHost.exe          7032 Services                   0      6,404 K
audiodg.exe                   5596 Services                   0     12,732 K
taskeng.exe                   5556 Services                   0      5,924 K
pythonw.exe                   6248 Console                    5     14,844 K
cmd.exe                       5004 Console                    5      3,276 K
conhost.exe                   8868 Console                    5      7,644 K
tasklist.exe                  6276 Console                    5      7,120 K
WmiPrvSE.exe                  3820 Services                   0      7,968 K
